candidate_id,dominance_status,pareto_status,comparable_measured_dimensions,unknown_dimensions,reason
TUP-CME-ES-H1-QDEP-PAS,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-CME-ES-H3-OFI-AGG,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-CME-NQ-H3-OFI-AGG,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-CME-TSY-H2-QREPL-MIX,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-CME-WTI-H4-FLOWVOL-AGG,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-NASDAQ-LARGETICK-H2-QIMB-PAS,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,NOT_EVALUATED_UNKNOWN_DIMENSIONS,NOT_EVALUATED,verified_fee_unit_values|verified_feed_cadence|verified_data_product_scope,mechanism_credibility|evidence_quality|observability|data_feasibility|execution_feasibility|net_edge_headroom|signal_longevity|capacity|capital_efficiency|simulation_feasibility|regime_robustness|operational_complexity|regulatory_burden,"Pareto analysis requires every compared dimension to be measured for both candidates. The decision-critical dimensions are UNKNOWN for all candidates, so no dominance statement is made and no UNKNOWN is scored as an average."
